---------------------------------------------------------------------
| Name       | Start Time        | End Time | Total Time | Activity |
| All        | 11:00 2017-04-03  | 12:00    |   1hr      | lab      |
| All        | 11:00 2017-04-05  | 12:00    |   1hr      | lab      |
| All        | 11:00 2017-04-07  | 12:00    |   1hr      | lab      |
| All        | 15:30 2017-04-11  | 17:30    |   2hr      | Meeting  |
| AS         | 19:30 2017-04-11  | 20:30    |   1hr      | ugh      |
| All        | 11:00 2017-04-12  | 12:00    |   1hr      | lab      |
| ALL        | 16:00 2017-04-13  | 17:00    |   1hr      | Meeting  |
| ED         | 13:15 2017-04-16  | 13:45    | 0.5hr      | Functions|
| ALL        | 11:00 2017-04-17  | 12:00    |   1hr      | Lab      |
| ALL        | 16:00 2017-04-18  | 17:00    |   1hr      | Meeting  |
| ED, JM     | 11:00 2017-04-19  | 12:00    |   1hr      | Lab      |
| ED, JM, AS | 16:00 2017-04-20  | 18:00    |   2hr      | Meeting  |
| AS         | 18:00 2017-04-20  | 19:00    |   1hr      | CSS      |
| ED, AS, MH | 11:00 2017-04-21  | 12:00    |   1hr      | Lab      |
| AS         | 12:15 2017-04-21  | 12:45    | 0.5hr      | Uname    |
| ED         | 13:00 2017-04-22  | 13:30    | 0.5hr      | Reservati|
| ED         | 19:05 2017-04-23  | 20:35    | 1.5hr      | Employee |
| ALL        | 16:00 2017-04-25  | 18:00    |   2hr      | Meeting  |
| AS         | 18:00 2017-04-25  | 21:00    |   3hr      | Login/css|
| ED         | 18:05 2017-04-25  | 20:35    | 2.5hr      | Employee |
| ED, AS, MH | 11:00 2017-04-26  | 12:00    |   1hr      | Lab      |
| ED, AS     | 11:00 2017-04-28  | 12:00    |   1hr      | Lab      |
| ED, JM, AS | 15:00 2017-04-29  | 20:00    |   5hr      | Finishing|
| ED, JM, AS | 14:30 2017-04-30  | 20:00    | 5.5hr      | Saddness |
---------------------------------------------------------------------
